,weight,marginal_sigma_daily,component_sigma_daily,pct_of_port_sigma,marginal_sigma_annual,component_sigma_annual
BAJFINANCE,0.050010967317394156,0.0696500367688318,0.0034832657125013484,0.22566762047797675,1.1056600565810022,0.05529512895382067
NEWGEN,0.07929370475981574,0.016497393849023233,0.0013081394771708485,0.08474941260064314,0.2618880084312128,0.020766070420680724
UJJIVANSFB,0.07030050449660012,0.011899592560422851,0.000836547360301716,0.05419674173546066,0.18890017570723924,0.013279777651715325
MCX,0.04672077209914454,0.013909766924038404,0.000649875050410217,0.042102948307312656,0.2208107044552649,0.010316446599905991
AVALON,0.03992103531476201,0.014472242172263,0.0005777468908426993,0.037430037457979556,0.22973972220785457,0.009171447563463376
MTARTECH,0.04003070848870366,0.01390387205633936,0.0005565818491515537,0.03605883440028111,0.22071712633160512,0.008835462942644864
DATAPATTNS,0.029940776486071505,0.017648386500165536,0.0005284063955412581,0.034233453250257645,0.28015945032592554,0.008388191482669189
RVNL,0.027418293485413466,0.018286548212741005,0.000501385945732096,0.032482900431162066,0.2902899534522322,0.007959255139620315
MAZDOCK,0.025115156832638735,0.019189503134481756,0.0004819473807629219,0.03122354927504541,0.30462391846039905,0.007650677487105876
JIOFIN,0.034437376617679316,0.013280715789901174,0.0004573530114091872,0.029630173039263446,0.21082482727804347,0.007260253977331175
ACI,0.04551436718578636,0.009567302369329952,0.0004354497130151272,0.028211141120031216,0.15187621672203652,0.0069125498946748356
CDSL,0.025663522702347,0.016209177624292807,0.0004159845979474135,0.02695006988337652,0.25731271770450914,0.006603550772412275
TATAELXSI,0.036740513270454044,0.010475968043290169,0.0003848924429153549,0.02493572667193704,0.1663008371112343,0.006109978112772921
KELLTONTEC,0.009212546611098923,0.032919784640138054,0.0003032750504246102,0.019648044286151686,0.5225853802296554,0.004814342173644554
ADANIENT,0.019083132265847774,0.012854279336175747,0.0002452999127543957,0.015892054234067667,0.20405535843886474,0.003894015394643833
DCXINDIA,0.014696205308181618,0.015858600148695362,0.00023306124368558659,0.015099157121262495,0.2517474728103592,0.003699732546236909
INDIGO,0.030160122833954812,0.007235653330263057,0.000218228193224648,0.014138179843549727,0.11486243570971413,0.003464265170012216
SPANDANA,0.013380127220881772,0.016227943895506906,0.00021713195385521413,0.014067158638050945,0.2576106230245201,0.003446862909518694
TATACONSUM,0.040469401184470274,0.005125760608241338,0.0002074364624304731,0.01343902439284151,0.08136892709674654,0.003292951754628149
ADANIPORTS,0.019083132265847774,0.010711480998945982,0.00020440860866600142,0.013242861191242706,0.1700394893784287,0.0032448860662257725
AEROFLEX,0.010857644220223733,0.01780792360737845,0.0001933520988298384,0.012526551707138919,0.28269202338935767,0.0030693694138568114
SWIGGY,0.013709146742706733,0.012891678126950643,0.00017673390720210905,0.011449921880187333,0.20464904583721422,0.0028055638001372864
HFCL,0.008444834393507348,0.020023024813519502,0.00016909112860726054,0.010954775140979504,0.31785566491108835,0.002684238451212305
HDFCBANK,0.017109015134898004,0.009599723123394643,0.0001642418082089893,0.010640606000426819,0.15239088023747066,0.002607257876403315
INOXINDIA,0.017767054178547927,0.009029377419702663,0.0001604254378144145,0.01039335778656953,0.14333692287765198,0.002546674874553589
IREDA,0.009431892958982233,0.016140777451824982,0.00015223808520036723,0.009862930154880357,0.25622689862860637,0.002416704681077007
AETHER,0.017876727352489578,0.007852974731459463,0.00014038548818029087,0.009095045190949702,0.12466210914909585,0.002228550536444683
BHEL,0.008883527089273964,0.015457273140907076,0.00013731510467355487,0.008896126648091144,0.24537660406823028,0.002179809709314176
SONACOMS,0.014257512612415002,0.009501075609534115,0.0001354617053344412,0.00877605190984992,0.15082489950269215,0.0021503879069258588
IRFC,0.00877385391533231,0.01448087278928678,0.00012705306241971292,0.008231287715948362,0.22987672900569034,0.0020169048388303606
HAL,0.010418951524457116,0.011942189310624532,0.00012442509152328694,0.008061031414009238,0.18957637815339837,0.0019751870941624085
BANDHANBNK,0.00965123930686554,0.01187738901571363,0.0001146315237313884,0.007426543171652205,0.18854770536209103,0.0018197190252099156
PREMIERENE,0.007019083132265847,0.015085541155658404,0.00010588666746678414,0.00685999698553365,0.23947554174421237,0.001680898735647027
SYNGENE,0.015025224830006581,0.007031532174789794,0.00010565035182564179,0.006844686988301189,0.1116221128214577,0.0016771473411427622
LATENTVIEW,0.00910287343715727,0.010251463937664214,9.331777877013924e-05,0.006045706191109136,0.1627369449204388,0.001481373813160388
ZOMATO,0.008554507567449002,0.010827540414653164,9.26242764140104e-05,0.00600077679455412,0.1718818754860407,0.0014703648045526624
VINCOFE,0.006032024566790963,0.014530491348306447,8.764828078052803e-05,0.005678400844282329,0.23066439921116685,0.0013913733227258365
DMART,0.01667032243913139,0.005245281338771402,8.744053120127802e-05,0.0056649415342341775,0.08326625987374241,0.0013880754003957935
IEX,0.007567449001974116,0.010005271919311736,7.571438500027525e-05,0.004905248840949258,0.15882876778846056,0.0012019286002855644
WAAREERTL,0.005922351392849309,0.012642790310613617,7.48750468055643e-05,0.0048508712916004075,0.2006980742389241,0.0011886045195110661
IDFCFIRSTB,0.007457775828032464,0.0094393762153683,7.039675177067827e-05,0.004560739482047657,0.14984545198465557,0.0011175137897517634
IRCTC,0.0062513709146742695,0.010205113002717373,6.379594660615159e-05,0.004133098263242159,0.16200114663901075,0.0010127292562429932
PPL,0.0038385610879578848,0.015603994155547763,5.98968847822079e-05,0.0038804927842090832,0.24770572796930823,0.0009508335686472677
PRINCEPIPE,0.0061416977407326165,0.009148261795716749,5.6185858802384064e-05,0.00364006943683332,0.14522415383987816,0.0008919228575381857
TATAPOWER,0.004496600131607808,0.011786806698862765,5.30005565533421e-05,0.00343370574299721,0.18710975566068636,0.0008413577519289471
CLEAN,0.005593331871024347,0.009331982157120383,5.219687321925198e-05,0.0033816381373101075,0.14814062416219573,0.0008285996745198489
RTNPOWER,0.0028515025224830006,0.01694163817942505,4.830912400362484e-05,0.0031297655594137532,0.2689401685487745,0.0007668835690138339
KOTAKBANK,0.009212546611098923,0.004786933273864983,4.4099845909701524e-05,0.0028570623407139593,0.07599020991184195,0.0007000633508000354
COALINDIA,0.005483658697082693,0.0075173613321367905,4.1222643848085055e-05,0.002670659293553638,0.11933441160148303,0.0006543891840397184
AXISBANK,0.007457775828032464,0.005300538906822077,3.9530230934843306e-05,0.002561014257394968,0.0841434465724403,0.0006275229619352863
VBL,0.005593331871024347,0.006628710466045565,3.707657751352531e-05,0.002402051325833581,0.10522751643724577,0.0005885724213971851
FEDERALBNK,0.005154639175257731,0.006792488840966405,3.501282907714641e-05,0.0022683488645969,0.10782741753827081,0.0005558114306096432
SBICARD,0.004277253783724501,0.005914507703084939,2.529785045188776e-05,0.0016389521173179838,0.09388989905843158,0.00040159092600118796
WHIRLPOOL,0.002412809826716385,0.007999204318667616,1.930055878599337e-05,0.0012504102571040208,0.12698343188153027,0.000306386872273927
CASTROLIND,0.0012064049133581926,0.009371608366799301,1.1305954379775424e-05,0.000732470053306475,0.14876967073945882,0.00017947646173876368
HAPPSTMNDS,0.0013160780872998462,0.005591519981886832,7.358876922860492e-06,0.00047675382288872115,0.08876262793752565,0.00011681854959972666
SBIN,0.0009870585654748847,0.006549431760089682,6.46467271778977e-06,0.0004188217120952548,0.10396900599591208,0.00010262349791217465
__TOTALS__,1.0,,0.015435381049011796,1.0,,0.24502907788322698
